site,category
lefigaro.fr                                                                                                                                                                                             ,News_and_Media                                                                                                                                                                                          
transcode.cn                                                                                                                                                                                            ,
tuniu.com                                                                                                                                                                                               ,Travel                                                                                                                                                                                                  
rediff.com                                                                                                                                                                                              ,News_and_Media                                                                                                                                                                                          
kingroot.net                                                                                                                                                                                            ,Business_and_Industry                                                                                                                                                                                   
sourceforge.net                                                                                                                                                                                         ,Computer_and_Electronics/Software                                                                                                                                                                       
gamer.com.tw                                                                                                                                                                                            ,Games                                                                                                                                                                                                   
urbandictionary.com                                                                                                                                                                                     ,Reference/Dictionaries_and_Encyclopedias                                                                                                                                                                
list-manage.com                                                                                                                                                                                         ,Internet_and_Telecom/Email                                                                                                                                                                              
pokemon.com                                                                                                                                                                                             ,Arts_and_Entertainment                                                                                                                                                                                  
xiaoxiaoshuwu.com                                                                                                                                                                                       ,Arts_and_Entertainment/Animation_and_Comics                                                                                                                                                             
myshopify.com                                                                                                                                                                                           ,Business_and_Industry/Business_Services                                                                                                                                                                 
gemius.pl                                                                                                                                                                                               ,Internet_and_Telecom                                                                                                                                                                                    
elmundo.es                                                                                                                                                                                              ,News_and_Media                                                                                                                                                                                          
tvmao.com                                                                                                                                                                                               ,Arts_and_Entertainment/TV_and_Video                                                                                                                                                                     
lowes.com                                                                                                                                                                                               ,Shopping/Home_and_Garden                                                                                                                                                                                
toysrus.com                                                                                                                                                                                             ,Shopping/Children                                                                                                                                                                                       
blogspot.com.tr                                                                                                                                                                                         ,Internet_and_Telecom/Chats_and_Forums                                                                                                                                                                   
office365.com                                                                                                                                                                                           ,Computer_and_Electronics/Software                                                                                                                                                                       
medium.com                                                                                                                                                                                              ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
cricbuzz.com                                                                                                                                                                                            ,Sports                                                                                                                                                                                                  
asda.com                                                                                                                                                                                                ,Food_and_Drink/Food_and_Grocery_Retailers                                                                                                                                                               
osym.gov.tr                                                                                                                                                                                             ,Career_and_Education/Education                                                                                                                                                                          
movilmulticlub.com                                                                                                                                                                                      ,Arts_and_Entertainment/Music_and_Audio                                                                                                                                                                  
aptoide.com                                                                                                                                                                                             ,Internet_and_Telecom/Mobile_Developers                                                                                                                                                                  
azet.sk                                                                                                                                                                                                 ,Reference                                                                                                                                                                                               
evernote.com                                                                                                                                                                                            ,Computer_and_Electronics/Software                                                                                                                                                                       
sprint.com                                                                                                                                                                                              ,Internet_and_Telecom/Telecommunications                                                                                                                                                                 
corriere.it                                                                                                                                                                                             ,News_and_Media/Newspapers                                                                                                                                                                               
wildberries.ru                                                                                                                                                                                          ,Shopping/Clothing                                                                                                                                                                                       
kooora.com                                                                                                                                                                                              ,Sports/Soccer                                                                                                                                                                                           
ficbook.net                                                                                                                                                                                             ,People_and_Society                                                                                                                                                                                      
eba.gov.tr                                                                                                                                                                                              ,Career_and_Education/Education                                                                                                                                                                          
sephora.com                                                                                                                                                                                             ,Beauty_and_Fitness/Cosmetics                                                                                                                                                                            
lenta.ru                                                                                                                                                                                                ,News_and_Media                                                                                                                                                                                          
ultimate-guitar.com                                                                                                                                                                                     ,Arts_and_Entertainment/Music_and_Audio                                                                                                                                                                  
wix.com                                                                                                                                                                                                 ,Internet_and_Telecom/Web_Hosting                                                                                                                                                                        
vonvon.me                                                                                                                                                                                               ,
onedio.com                                                                                                                                                                                              ,News_and_Media                                                                                                                                                                                          
wiwide.com                                                                                                                                                                                              ,Business_and_Industry                                                                                                                                                                                   
