site,category
nosv.org                                                                                                                                                                                                ,Internet_and_Telecom/Chats_and_Forums                                                                                                                                                                   
archiveofourown.org                                                                                                                                                                                     ,Books_and_Literature                                                                                                                                                                                    
znanija.com                                                                                                                                                                                             ,Career_and_Education/Education                                                                                                                                                                          
twimg.com                                                                                                                                                                                               ,Business_and_Industry/Marketing_and_Advertising                                                                                                                                                         
e22a.com                                                                                                                                                                                                ,
flyme.cn                                                                                                                                                                                                ,Arts_and_Entertainment                                                                                                                                                                                  
2ch.net                                                                                                                                                                                                 ,Internet_and_Telecom/Chats_and_Forums                                                                                                                                                                   
forbes.com                                                                                                                                                                                              ,News_and_Media/Magazines_and_E-Zines                                                                                                                                                                    
musica.com                                                                                                                                                                                              ,Arts_and_Entertainment/Music_and_Audio                                                                                                                                                                  
sabah.com.tr                                                                                                                                                                                            ,News_and_Media                                                                                                                                                                                          
kakaku.com                                                                                                                                                                                              ,Shopping                                                                                                                                                                                                
wordreference.com                                                                                                                                                                                       ,Reference/Dictionaries_and_Encyclopedias                                                                                                                                                                
t-mobile.com                                                                                                                                                                                            ,Internet_and_Telecom/Telecommunications                                                                                                                                                                 
blog.jp                                                                                                                                                                                                 ,Internet_and_Telecom/Web_Hosting                                                                                                                                                                        
mangahere.co                                                                                                                                                                                            ,Arts_and_Entertainment/Animation_and_Comics                                                                                                                                                             
ebay.com.au                                                                                                                                                                                             ,Shopping/General_Merchandise                                                                                                                                                                            
whafwl.com                                                                                                                                                                                              ,
exhentai.org                                                                                                                                                                                            ,Arts_and_Entertainment                                                                                                                                                                                  
jw.org                                                                                                                                                                                                  ,People_and_Society/Religion_and_Spirituality                                                                                                                                                            
friv.com                                                                                                                                                                                                ,Games/Online                                                                                                                                                                                            
biquge.tw                                                                                                                                                                                               ,Arts_and_Entertainment                                                                                                                                                                                  
capitalone.com                                                                                                                                                                                          ,Finance/Banking                                                                                                                                                                                         
go.com                                                                                                                                                                                                  ,Arts_and_Entertainment                                                                                                                                                                                  
movie.douban.com                                                                                                                                                                                        ,Arts_and_Entertainment/Movies                                                                                                                                                                           
12306.cn                                                                                                                                                                                                ,Travel/Tourism                                                                                                                                                                                          
kijiji.ca                                                                                                                                                                                               ,Shopping/Classifieds                                                                                                                                                                                    
nhl.com                                                                                                                                                                                                 ,Sports                                                                                                                                                                                                  
haberturk.com                                                                                                                                                                                           ,News_and_Media                                                                                                                                                                                          
tanwan.com                                                                                                                                                                                              ,People_and_Society                                                                                                                                                                                      
weather.com.cn                                                                                                                                                                                          ,News_and_Media/Weather                                                                                                                                                                                  
4shared.com                                                                                                                                                                                             ,Internet_and_Telecom/File_Sharing                                                                                                                                                                       
healthline.com                                                                                                                                                                                          ,Health                                                                                                                                                                                                  
nyaa.se                                                                                                                                                                                                 ,Internet_and_Telecom/File_Sharing                                                                                                                                                                       
vporn.com                                                                                                                                                                                               ,Adult                                                                                                                                                                                                   
detik.com                                                                                                                                                                                               ,News_and_Media                                                                                                                                                                                          
tabelog.com                                                                                                                                                                                             ,Food_and_Drink                                                                                                                                                                                          
leadzuaf.com                                                                                                                                                                                            ,
happyelements.cn                                                                                                                                                                                        ,Shopping                                                                                                                                                                                                
wunderground.com                                                                                                                                                                                        ,News_and_Media/Weather                                                                                                                                                                                  
zara.com                                                                                                                                                                                                ,Shopping/Clothing                                                                                                                                                                                       
youtubeinmp3.com                                                                                                                                                                                        ,Arts_and_Entertainment                                                                                                                                                                                  
webmd.com                                                                                                                                                                                               ,Health/Conditions_and_Diseases                                                                                                                                                                          
fedex.com                                                                                                                                                                                               ,Business_and_Industry/Transportation_and_Logistics                                                                                                                                                      
prcm.jp                                                                                                                                                                                                 ,Arts_and_Entertainment                                                                                                                                                                                  
nicepl.com                                                                                                                                                                                              ,
marca.com                                                                                                                                                                                               ,News_and_Media/Sports_News                                                                                                                                                                              
goodreads.com                                                                                                                                                                                           ,Books_and_Literature                                                                                                                                                                                    
hepsiburada.com                                                                                                                                                                                         ,Shopping/General_Merchandise                                                                                                                                                                            
gsmarena.com                                                                                                                                                                                            ,News_and_Media/Technology_News                                                                                                                                                                          
youtu.be                                                                                                                                                                                                ,Arts_and_Entertainment/TV_and_Video                                                                                                                                                                     
weebly.com                                                                                                                                                                                              ,Internet_and_Telecom/Web_Hosting                                                                                                                                                                        
blogspot.my                                                                                                                                                                                             ,People_and_Society                                                                                                                                                                                      
qidian.com                                                                                                                                                                                              ,Books_and_Literature                                                                                                                                                                                    
gamefaqs.com                                                                                                                                                                                            ,Games/Video_Games                                                                                                                                                                                       
adreach.co                                                                                                                                                                                              ,Business_and_Industry/Marketing_and_Advertising                                                                                                                                                         
24h.com.vn                                                                                                                                                                                              ,News_and_Media                                                                                                                                                                                          
comcast.net                                                                                                                                                                                             ,Internet_and_Telecom/Telecommunications                                                                                                                                                                 
douyu.com                                                                                                                                                                                               ,Arts_and_Entertainment                                                                                                                                                                                  
kinopoisk.ru                                                                                                                                                                                            ,Arts_and_Entertainment/Movies                                                                                                                                                                           
intuit.com                                                                                                                                                                                              ,Computer_and_Electronics/Software                                                                                                                                                                       
skype.com                                                                                                                                                                                               ,Internet_and_Telecom/Telecommunications                                                                                                                                                                 
bild.de                                                                                                                                                                                                 ,News_and_Media/Newspapers                                                                                                                                                                               
yjbys.com                                                                                                                                                                                               ,Career_and_Education/Jobs_and_Employment                                                                                                                                                                
icloud.com                                                                                                                                                                                              ,Internet_and_Telecom                                                                                                                                                                                    
sfr.fr                                                                                                                                                                                                  ,Internet_and_Telecom/Telecommunications                                                                                                                                                                 
milanuncios.com                                                                                                                                                                                         ,Shopping/Classifieds                                                                                                                                                                                    
caixa.gov.br                                                                                                                                                                                            ,Finance/Banking                                                                                                                                                                                         
force.com                                                                                                                                                                                               ,Computer_and_Electronics/Software                                                                                                                                                                       
gearbest.com                                                                                                                                                                                            ,Shopping                                                                                                                                                                                                
mynet.com                                                                                                                                                                                               ,News_and_Media/Magazines_and_E-Zines                                                                                                                                                                    
bstlnk.com                                                                                                                                                                                              ,
google.com.af                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
2345.com                                                                                                                                                                                                ,Arts_and_Entertainment                                                                                                                                                                                  
anybunny.com                                                                                                                                                                                            ,
wapka.mobi                                                                                                                                                                                              ,Internet_and_Telecom/Mobile_Developers                                                                                                                                                                  
tim.com.br                                                                                                                                                                                              ,Internet_and_Telecom/Telecommunications                                                                                                                                                                 
claroideas.com                                                                                                                                                                                          ,Business_and_Industry                                                                                                                                                                                   
boostmobile.com                                                                                                                                                                                         ,Shopping                                                                                                                                                                                                
wikimedia.org                                                                                                                                                                                           ,Reference                                                                                                                                                                                               
diaochapai.com                                                                                                                                                                                          ,Computer_and_Electronics/Software                                                                                                                                                                       
outlook.com                                                                                                                                                                                             ,Internet_and_Telecom/Email                                                                                                                                                                              
readmanga.me                                                                                                                                                                                            ,Arts_and_Entertainment/Animation_and_Comics                                                                                                                                                             
perfectgirls.net                                                                                                                                                                                        ,Adult                                                                                                                                                                                                   
56.com                                                                                                                                                                                                  ,Arts_and_Entertainment/TV_and_Video                                                                                                                                                                     
amazon.cn                                                                                                                                                                                               ,Shopping                                                                                                                                                                                                
trulia.com                                                                                                                                                                                              ,Business_and_Industry/Real_Estate                                                                                                                                                                       
telegraph.co.uk                                                                                                                                                                                         ,News_and_Media/Newspapers                                                                                                                                                                               
battle.net                                                                                                                                                                                              ,Games/Online                                                                                                                                                                                            
shopping.yahoo.co.jp                                                                                                                                                                                    ,Shopping                                                                                                                                                                                                
lazada.co.id                                                                                                                                                                                            ,Shopping/General_Merchandise                                                                                                                                                                            
cloud.mail.ru                                                                                                                                                                                           ,
spiegel.de                                                                                                                                                                                              ,News_and_Media                                                                                                                                                                                          
ndtv.com                                                                                                                                                                                                ,News_and_Media                                                                                                                                                                                          
39.net                                                                                                                                                                                                  ,Health                                                                                                                                                                                                  
wellhello.com                                                                                                                                                                                           ,Adult                                                                                                                                                                                                   
softonic.com                                                                                                                                                                                            ,Computer_and_Electronics/Software                                                                                                                                                                       
ukr.net                                                                                                                                                                                                 ,News_and_Media                                                                                                                                                                                          
lemonde.fr                                                                                                                                                                                              ,News_and_Media/Newspapers                                                                                                                                                                               
le.com                                                                                                                                                                                                  ,Business_and_Industry                                                                                                                                                                                   
idnes.cz                                                                                                                                                                                                ,News_and_Media                                                                                                                                                                                          
suning.com                                                                                                                                                                                              ,Shopping                                                                                                                                                                                                
spaces.ru                                                                                                                                                                                               ,People_and_Society                                                                                                                                                                                      
thewhizmarketing.com                                                                                                                                                                                    ,
taocijc.com                                                                                                                                                                                             ,
livedoor.com                                                                                                                                                                                            ,News_and_Media                                                                                                                                                                                          
google.dz                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
yadi.sk                                                                                                                                                                                                 ,Internet_and_Telecom                                                                                                                                                                                    
69shu.com                                                                                                                                                                                               ,Arts_and_Entertainment                                                                                                                                                                                  
zippyshare.com                                                                                                                                                                                          ,Internet_and_Telecom/File_Sharing                                                                                                                                                                       
billmscurlrev.com                                                                                                                                                                                       ,
usatoday.com                                                                                                                                                                                            ,News_and_Media                                                                                                                                                                                          
taringa.net                                                                                                                                                                                             ,Internet_and_Telecom/Chats_and_Forums                                                                                                                                                                   
speedtest.net                                                                                                                                                                                           ,Computer_and_Electronics                                                                                                                                                                                
dcinside.com                                                                                                                                                                                            ,News_and_Media/Magazines_and_E-Zines                                                                                                                                                                    
gotporn.com                                                                                                                                                                                             ,Adult                                                                                                                                                                                                   
sanook.com                                                                                                                                                                                              ,News_and_Media                                                                                                                                                                                          
beeline.ru                                                                                                                                                                                              ,Internet_and_Telecom/Telecommunications                                                                                                                                                                 
